KEY,CHARACTER,English,Spanish,French,Italian,German,Russian,EnglishOrigin
Menu-Lbl-Splash,-,按下任意键,PRESIONA CUALQUIER BOTÓN,APPUYEZ SUR UNE TOUCHE,PREMI UN TASTO,DRÜCKE EINE TASTE,НАЖМИТЕ ЛЮБУЮ кнопка,PRESS ANY BUTTON
Menu-Lbl-MenuTitle,-,菜单,MENÚ,MENU,MENU,MENÜ,МЕНЮ,MENU
Menu-Btn-Continue,-,继续游戏,CONTINUAR,CONTINUER,CONTINUA,FORTSETZEN,ПРОДОЛЖИТЬ,CONTINUE
Menu-Btn-NewGame,-,新游戏,NUEVA PARTIDA,NOUVELLE PARTIE,NUOVA PARTITA,NEUES SPIEL,НОВАЯ ИГРА,NEW GAME
Menu-Btn-LoadScene,-,选择场景,CARGAR ESCENA,CHARGER LA SCÈNE,CARICA SCENA,SZENE LADEN,ЗАГРУЗИТЬ СЦЕНУ,LOAD SCENE
Menu-Btn-Settings,-,设置,CONFIGURACIÓN,PARAMÈTRES,IMPOSTAZIONI,EINSTELLUNGEN,НАСТРОЙКИ,SETTINGS
Menu-Btn-Tutorial,-,教程,TUTORIAL,TUTORIEL,TUTORIAL,TUTORIAL,обучающем,TUTORIAL
Menu-Btn-Credits,-,制作组,CRÉDITOS,CRÉDITS,RICONOSCIMENTI,CREDITS,О СОЗДАТЕЛЯХ,CREDITS
Menu-Lbl-LoadSceneTitle,-,选择场景,CARGAR ESCENA,CHARGER LA SCÈNE,CARICA SCENA,SZENE LADEN,ЗАГРУЗИТЬ СЦЕНУ,LOAD SCENE
Menu-Lbl-SettingsTitle,-,设置,CONFIGURACIÓN,PARAMÈTRES,IMPOSTAZIONI,EINSTELLUNGEN,НАСТРОЙКИ,SETTINGS
Menu-Lbl-CreditsTitle,-,制作名单,CRÉDITOS,CRÉDITS,RICONOSCIMENTI,CREDITS,О СОЗДАТЕЛЯХ,CREDITS
Menu-Lbl-ControlsTitle,-,控制,CONTROLES,COMMANDES,COMANDI,STEUERUNG,УПРАВЛЕНИЕ,CONTROLS
Menu-Lbl-Resolution,-,分辨率,RESOLUCIÓN,RÉSOLUTION,RISOLUZIONE,AUFLÖSUNG,РАЗРЕШЕНИЕ,RESOLUTION
Menu-Lbl-Fullscreen,-,全屏,PANTALLA COMPLETA,PLEIN ÉCRAN,SCHERMO INTERO,VOLLBILD,НА ВЕСЬ ЭКРАН,FULLSCREEN
Menu-Lbl-Gamepad,-,手柄,GAMEPAD,MANETTE,GAMEPAD,GAMEPAD,КОНТРОЛЛЕР,GAMEPAD
Menu-Btn-Controls,-,控制,CONTROLES,COMMANDES,COMANDI,STEUERUNG,УПРАВЛЕНИЕ,CONTROLS
Menu-Lbl-Music,-,音乐,MÚSICA,MUSIQUE,MUSICA,MUSIK,МУЗЫКА,MUSIC
Menu-Lbl-Sfx,-,音效,SONIDO,SON,AUDIO,SOUND,ЗВУК,SOUND
Menu-Lbl-DeathZoneLS,-,左摇杆死区,PUNTO MUERTO JOYSTICK IZQUIERDO,ZONE MORTE JOYSTICK GAUCHE,ZONA MORTA LEVETTA SINISTRA,DEADZONE LINKER STICK,мертвая зона левый джойстик,DEAD ZONE LEFT STICK
Menu-Lbl-DeathZoneRS,-,右摇杆死区,PUNTO MUERTO JOYSTICK DERECHO,ZONE MORTE JOYSTICK DROIT,ZONA MORTA LEVETTA DESTRA,DEADZONE RECHTER STICK,мертвая зона правый джойстик,DEAD ZONE RIGHT STICK
Menu-Lbl-Vibration,-,震动,VIBRACIÓN,VIBRATION,VIBRAZIONE,VIBRATION,вибрация,VIBRATION
Menu-Lbl-Language,-,语言,IDIOMA,LANGUE,LINGUA,SPRACHE,язык,LANGUAGE
Menu-Lbl-Credits,-,制作名单,CRÉDITOS,CRÉDITS,RICONOSCIMENTI,CREDITS,О СОЗДАТЕЛЯХ,CREDITS
Menu-Lbl-PauseTitle,-,暂停,PAUSA,PAUSE,PAUSA,PAUSE,ПАУЗА,PAUSE
Menu-Btn-Exit,-,退出,SALIR,QUITTER,ESCI,VERLASSEN,ВЫХОД,EXIT
Menu-Btn-Normal,-,普通,NORMAL,NORMAL,NORMALE,NORMAL,НОРМАЛЬНЫЙ,NORMAL
Menu-Btn-Ironman,-,硬汉,HOMBRE DE HIERRO,IRONMAN,IRON MAN,IRONMAN-MODUS,"""ЖЕЛЕЗНЫЙ ЧЕЛОВЕК""",IRON MAN
Menu-Btn-TurboMode,-,加速模式,MODO TURBO,TURBO,TURBO,TURBO-MODUS,турбо,TURBO MODE
Menu-Btn-Restart,-,重新开始,REINICIAR,RECOMMENCER,RICOMINCIA,NEU STARTEN,НАЧАТЬ ЗАНОВО,RESTART
Menu-Lbl-Command,-,指令,COMANDO,ACTIONS,COMANDO,BEFEHL,КОМАНДА,COMMAND
Menu-Lbl-MoveUp,-,向上移动,ARRIBA,EN HAUT,SU,NACH OBEN,ДВИЖЕНИЕ ВВЕРХ,MOVE UP
Menu-Lbl-MoveDown,-,向下移动,ABAJO,EN BAS,GIÙ,NACH UNTEN,ДВИЖЕНИЕ ВНИЗ,MOVE DOWN
Menu-Lbl-MoveLeft,-,向左移动,IZQUIERDA,À GAUCHE,SINISTRA,NACH LINKS,ДВИЖЕНИЕ ВЛЕВО,MOVE LEFT
Menu-Lbl-MoveRight,-,向右移动,DERECHA,À DROITE,DESTRA,NACH RECHTS,ДВИЖЕНИЕ ВПРАВО,MOVE RIGHT
Menu-Lbl-Jump,-,跳跃,SALTAR / SIGUIENTE,SAUTER,SALTA,SPRINGEN,ПРЫГНУТЬ,JUMP
Menu-Lbl-Action,-,动作 / 掩护,ACCIÓN / CUBRIR,ACTION / À COUVERT,AZIONE / RIPARO,ACTION/DECKUNG,ДЕЙСТВОВАТЬ / В УКРЫТИЕ,ACTION / COVER
Menu-Lbl-Reload,-,填弹,RECARGAR,RECHARGER,RICARICA,NACHLADEN,ПЕРЕЗАРЯДИТЬ ОРУЖИЕ,RELOAD
Menu-Lbl-Dash,-,冲刺,DASH,FONCER,SCATTA,SPRINTEN,РЫВОК,DASH
Menu-Lbl-GrabGun,-,举枪,DESENFUNDAR ARMA,DÉGAINER,AFFERRA ARMA,WAFFE ZIEHEN,ВЗЯТЬ ОРУЖИЕ,GRAB GUN
Menu-Lbl-Shoot,-,射击,DISPARAR,TIRER,SPARA,SCHIESSEN,СТРЕЛЯТЬ,SHOOT
Menu-Lbl-ChangeAddon,-,切换插件,CAMBIAR ADD-ON,CHANGER DE MODULE,CAMBIA ACCESSORIO,ERWEITERUNG WECHSELN,СМЕНИТЬ НАСАДКУ,CHANGE ADDON
Menu-Lbl-ChangeBullet,-,切换子弹,CAMBIAR BALA,CHANGER DE BALLE,CAMBIA PALLOTTOLE,MUNITIONSART WECHSELN,СМЕНИТЬ ПАТРОНЫ,CHANGE BULLET
Menu-Lbl-Move,-,移动,MOVIMIENTO,SE DÉPLACER,MUOVI,BEWEGEN,ПЕРЕМЕСТИТЬСЯ,MOVE
Menu-Lbl-Aim,-,瞄准,APUNTADO,VISER,MIRA,ZIELEN,ЦЕЛИТЬСЯ,AIM
Menu-Lbl-Start,-,开始,START,MENU,MENU,MENÜ,МЕНЮ,START
